comment,cleaned_comment
"Самсунг по unicore всегда отставал, но по multicore всегда выигрывал. Использование процессора и его энергоэффективность во всех поколениях ± одинаковая, при чем в один год выигрывает Самсунг, в другом Айфон. Это норма. Вон даже на графике 15 про макс и с24 ультра ± сопоставимы (кто начнет кукарекать про синглкор, и что у эпл он энергоэффективный дохуя, то в поколении 15 про макс это реально ощутимо, т.к разница в использовании устройств около получаса), при этом многих функций, которые есть в самсунг у эпл просто нет",unicore multicore 15 24 15
"так себе сравнение, мог бы просто взять про и про макс если указываешь на габариты

почему не стоит брать iPhone 16 - как минимум из за герцовки",iphone 16
"Увы Леша, но только в промаксе есть здоровенный экран и 120гц, так бы может и 16 plus взял",120 16 plus
"60 герц в телефоне 2024 года за 800$ 🥴
Даже во всяких редми поко лёко в 5 раз дешевле уже такого не делают",60 2024 800 5
"Я не согласен. Если есть возможность переплатить 180 долларов и взять прошку, лучше это сделать, либо - прошлогоднюю прошку по цене нового базового айфона взять. Потому что 120 герц — это мастхев, ты говоришь, что к 60 герцам быстро привыкаешь, — максимально странная отмазка/причина, человек к любому говну может приспособиться. А покупать смартфон за 1к бачей без 120 герц в 2024 году — это ещё странней. Плюс в придачу к доплате ты в любом случае получишь более лучшую камеру, а зум (3x без потери качества) я достаточно часто использую, хотя я и не снимаю контент, только для себя.

Тут в комментариях пишут что не видят разницы между 60 и 120 герц, я вообще не знал что так бывает😵",180 120 60 1 120 2024 3x 60 120
"Алексей, а где вы смогли достать детскую версию 16 IPhone?",16 iphone
"У iphone 16 60hz экран, всё, больше не интересно",iphone 16 60hz
Когда будет видео про PlayStation 5 Pro,playstation 5 pro
"0:01 - Самый дешёвый iPhone в Apple Store на данный момент это iPhone SE за 430 долларов. 

Продавец говна опять продал.",0 01 iphone apple store iphone se 430
как называется приложение камеры? 3:42,3 42
Когда у тебя в квартире буквально все девайсы с герцовкой 120+ даже не смотрите в сторону устаревшего хлама с 60. Просто вырвиглазно,120 60
"одна проблема это экран, все остальное пох, касательно мака то 80% людей устроит эир.",80
Купите лучше 15 про или 14 про,15 14
"Зачем кому-то телефон за 1к баксов с 60гц экраном, это же просто позор. Ты как бы покупая заявляешь всему миру : ""смотрите, я говноед."" Потребляди как всегда схавают. Прошка как и остальные флагманы в этой цене, у каждой фирмы свои плюсы и минусы. И кстати, что за тенденция увеличивать экраны и пркупать эти ебучие ""про макс"" версии, жду что-то типа айфона мини, но про версию с топовым акамулятором, 120 гц экраном, третим ""очком"", и топовым железом",1 60 120
"в дефолтном 16 нет 120 герц, на 2024 это позорище, увы

ладно, опущу планку, нет даже 90 герц",16 120 2024 90
84 тысячи стоит новый айфон 16 на 128 гб в России ,84 16 128
"Всм самый дешевый, если в продаже у эпл еще 15ый, который упал в цене на 100$",15 100
"10 минут оды тому что уже давным давно есть в других Айфонах, только чуть лучше 😂 Шевцов уже не тот",10
OnePlus 9 Pro тоже мог снимать 4k 120 fps,oneplus 9 pro 4k 120 fps
"1:00 нихуя себе машинка стоит на светофоре, уляляяя",1 00
05:35 это все 99.9 процентам юзеров не нужно .,05 35 99 9
100% scripted custom 😂😂😂,100 scripted custom
Samsung S24 ULTRA 💀,samsung s24 ultra
S24 Playing 10:27,s24 playing 10 27
I like to get depressed watching these videos of people playing with something I will never have in my life. Good content bro.,get depressed watching videos people playing something never life good content
This songs give me flashbacks🔥,songs give flashbacks
Tnx for 246 subscriber 😢,tnx 246 subscriber
"Thanks For using These Backround Musics ..

  These are Remind The Old ff Videos",using backround musics remind old ff videos
samsung s24 ultra baap of iphone 16 pro max,samsung s24 ultra baap iphone 16 pro max
"Ab to s25 ultra ane wala h 
Always ❤ snapdragon",ab s25 ultra ane wala h always snapdragon
Samsung galaxy s24 ultra best winner ❤,samsung galaxy s24 ultra best winner
Poco x6 pro vs iphone 16 pro max plz vote😢😢😢🎉🎉,poco x6 pro vs iphone 16 pro max vote
I phone 16 pro Max I like ❤,phone 16 pro max
Ultra Touch response fast movement speed fast 😊so S24 Ultra is win,ultra touch response fast movement speed fast s24 ultra win
Bhai itna God level khelte ho toh NG guild ya raister ke sath khelo.❤️❤️,bhai itna god level khelte ho toh ng guild ya raister ke sath khelo
2 GB ram mai khelta hu handcam hai dekhlo helping hand❤❤ 4 finger,2 gb ram mai khelta hu handcam hai dekhlo helping hand 4 finger
Custom scripted ho sakta hai lekin Bhai ka accuracy op hai 😊,custom scripted ho sakta hai lekin bhai ka accuracy op hai
POCO X6 PROO PLZ ❤,poco x6 proo
I used this hud setting with three finger.its actual work  does anybody playing three finger use this hud setting ❤,used hud setting three finger actual work playing three finger use hud setting
Bhai Zada acha sensitivity or head tumko konse phone me acha laga. Mujhe toh iPhone Thora sa better laga.,bhai zada acha sensitivity head tumko konse phone acha laga mujhe toh iphone thora sa better laga
Tecno povar 6 pro 5G,tecno povar 6 pro 5g
no ones gonna talk about how good he is playing that pubg like game tho?,ones gonna talk good playing pubg game tho
how much fps s24 gave in high settings ?,much fps s24 gave high settings
Ek phone gift kardo😊,ek phone gift kardo
iphone 16 pro max better than Galaxy s24 ultra but not s25 ultra❤,iphone 16 pro max better galaxy s24 ultra s25 ultra
Suport me ❤❤❤❤,suport
Too Many power of you're hand,many power hand
Vai Konsa mobile pe apka sensibity best Laga or headshot laga,vai konsa mobile pe apka sensibity best laga headshot laga
"Please support 🙏🥺
Road to 10k subscriber",support road 10k subscriber
"Go and see techy pathsala's videos, he is playing bgmi/pubg 120fps in iphone 16pm , 16pm giving constant 120 fps which samsung never can't do this 🤡( hope s25 will give atleast Better 90 fps🤡)",go see techy pathsala videos playing bgmi pubg 120fps iphone 16pm 16pm giving constant 120 fps samsung never hope s25 give atleast better 90 fps
Give me you old phone bro😊😊😊😊,give old phone
Background music love it😊😊😊😊,background music love
Me duele q le clave la uña,duele q le clave la u
Iphone best❤,iphone best
Primeiro fixa 😢,primeiro fixa
15 pro max tempered glass in 16 pro max 😂😂,15 pro max tempered glass 16 pro max
Techno povar 6 pro 5G,techno povar 6 pro 5g
16pro max ake hodai yako ❤❤❤,16pro max ake hodai yako
Bro iphone batter then sumsung for gaming but norma usel sumsung batter then iphone,iphone batter sumsung gaming norma usel sumsung batter iphone
"lol, that screen protector on the iphone 😂",lol screen protector iphone
"Heart❤ - s24 ultra 💙
Brain ☠- Iphone always💀
Iphone is better always, gaming fps 🏴‍☠️",heart s24 ultra brain iphone always iphone better always gaming fps
Lo que hiciste es un pt insulto a la potencia de esos dispositivos,lo que hiciste es un pt insulto la potencia de esos dispositivos
Djozolldaozldk😊,djozolldaozldk
I phone 🗿 Samsung 🗿💀 Free fire 🤡💅🏳‍🌈,phone samsung free fire
Kitna Purana Background Music Hai 🤡,kitna purana background music hai
TECNO POVA 5 PRO 5G PLIS🙏🙏,tecno pova 5 pro 5g plis
S24❤,s24
Debe ser una delicia jugar en esa pantallota del s24 ultra.,debe ser una delicia jugar en esa pantallota del s24 ultra
Jajajaja teniendo esos equipo y jugano la basura de garena da asco ese juego y mas cuando tienes un buen equipo,jajajaja teniendo esos equipo jugano la basura de garena da asco ese juego mas cuando tienes un buen equipo
Power of1000 dpi,power of1000 dpi
samsung,samsung
Bgmi khel ke dikha do gaa*d fat jaye gi😂😂😂😂,bgmi khel ke dikha gaa fat jaye gi
Kaha se belong karte ho,kaha se belong karte ho
Android is the best,android best
Need a subscriber pls,need subscriber
Bora x1,bora x1
Bhai please subscribe Kar do😢😢,bhai kar
Poco pad ❤❤❤😢😢,poco pad
Opponents are noob,opponents noob
Bro ek phone mereko ko bhi bhejdo 😢,ek phone mereko ko bhi bhejdo
Quiero tener la misma situación financiera que este man.,quiero tener la misma situaci n financiera que este man
Guys support me,guys support
Vai realme gt 6t me khalo pls 😢😢😢,vai realme gt 6t khalo
Bhai tum only short gun kiyun chalate ho. Har video me bas short gun,bhai tum short gun kiyun chalate ho har video bas short gun
I don't which is better but in gaming no one can beat apple,better gaming one beat apple
ANFINX HOT 9PLAY,anfinx hot 9play
Bhai mai apke control me khelta hu phir bhi aap jaisa movement nahi ho pata hai 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,bhai mai apke control khelta hu phir bhi aap jaisa movement nahi ho pata hai
FULL SUPPORT CUSTOM WITH ME ID- FULLSHOOTER✓,full support custom id fullshooter
Big fan ma sanga kastom khalnu na,big fan sanga kastom khalnu na
Play minecraft,play minecraft
ausome,ausome
Redmi note 8 2019❤,redmi note 8 2019
nostalgic song,nostalgic song
hi,hi
"IPhone 🤡
Samsung S24 ultra ☠️",iphone samsung s24 ultra
Bruh thats not 16 pro 😂😂😂😂😂😂😂😂,bruh thats 16 pro
Samsung,samsung
S 24 ultra best,24 ultra best
ভাই আমি আপনার Subseribe bar আপনার তো অনেক আইডি আমাকে একটা আইডি দিবেন😞😞,subseribe bar
Cara nao sei o pq pessoal fica discutindo quem é melhor compra oq vc acha melhor eu msm prefiro o iPhone,cara nao sei pq pessoal fica discutindo quem melhor compra oq vc acha melhor eu msm prefiro iphone
par bhai 16 pro max ma do camera hota hai,par bhai 16 pro max camera hota hai
Nombre de la cancion... Esta epica,nombre de la cancion esta epica
❤ff❤,ff
❤ff❤,ff
😣😣😴😒😒odnso,odnso
You are hacker and hacker is noob so you are noob,hacker hacker noob noob
Samsung dpi 1000 but I phone no dpi🎉😂😂😂😂,samsung dpi 1000 phone dpi
Fake 16 pro max bhai chouna lagra ha bhai😅😅,fake 16 pro max bhai chouna lagra ha bhai
100%sped of iPhone 16 proMax+,100 sped iphone 16 promax
Game ka best divice i phon 16 pro max,game ka best divice phon 16 pro max
iPhone 16 pro max for free fire❤,iphone 16 pro max free fire
Only iPhone 16 Pro max ❤,iphone 16 pro max
https://youtu.be/mFpK7SumQRU?si=iWY8HxGipaPQ3mnj 😂,https youtu mfpk7sumqru si iwy8hxgipapq3mnj
100$,100
"Phone be like kuch vi?
Free fire jesa nokia games legend phone mein😂",phone kuch vi free fire jesa nokia games legend phone mein
movement is crazy but Ama stay on two finger,movement crazy ama stay two finger
"Bro give your first song this video plz plz,plz plz",give first song video
Samsung ultra S24 is the best phone,samsung ultra s24 best phone
Give me a piece of iPhone 😢,give piece iphone
Op game play bro ❤❤👍👍👍✌✌,op game play
P que essas giradas todinha????? E é um pião é,p que essas giradas todinha e um pi
You are creative 👏👏🔥♥,creative
😮😮😮😮10000%,10000
i wish I have one 😢😞,wish one
Your Anime 🤡 My Anime 🗿,anime anime
kenape setiap kali dia unboxing fon mesti ada dh  free fire,kenape setiap kali dia unboxing fon mesti ada dh free fire
Bro who is nice phone,nice phone
Bro best fastest game play like it  your  gameplay,best fastest game play gameplay
S24 ❤❤best,s24 best
Free fire is too light for these two,free fire light two
"S24 1000 dpi with 200 general he is 
💀💀💀",s24 1000 dpi 200 general
Please i need a phone 😭,need phone
Android is one big lag,android one big lag
Ei passar a sensi para esses caras pq eles estão precisando😂,ei passar sensi para esses caras pq eles est precisando
O cara ser movimenta de +,cara ser movimenta de
Como le vas poner ese dpi tan alto eso ase lentesr el cel,como le vas poner ese dpi tan alto eso ase lentesr el cel
I phone ka moment 👌,phone ka moment
Demasiada potencia para un juego horrible y de cartón,demasiada potencia para un juego horrible de cart n
S24❤,s24
Iphone is best all rounder,iphone best rounder
Bro kya main apki video use kar sakta hu apne review content ke liye,kya main apki video use kar sakta hu apne review content ke liye
150 rupees ka kamal,150 rupees ka kamal
Back jump 💀💀💀,back jump
Apon 16,apon 16
Pubg masmi😢😢😢,pubg masmi
S24 ultra the best ❤,s24 ultra best
Iska baap ambani hai kya,iska baap ambani hai kya
Even on the I phone xs what I’m using to play Fortnite is doesn’t lag,even phone xs using play fortnite lag
M1NX,m1nx
"Samsung S24 Good but S25 Comming ❤️‍🩹❤️‍🩹❤️‍🩹

I PHONE 16  🤡🤡🤡",samsung s24 good s25 comming phone 16
Im sl❤,im sl
Free fire is shit pubg Better than free fire by far,free fire shit pubg better free fire far
Even a $100 can play this game💀,even 100 play game
Samsung s24 ultra,samsung s24 ultra
Infinix GT 20 pro  💀,infinix gt 20 pro
Bro me regalas una cuenta porfavor,regalas una cuenta porfavor
Iphone super ultra HD quality...☠️💀 Android noob smoth,iphone super ultra hd quality android noob smoth
Bigg fan name saket,bigg fan name saket
Bhai free fire ke liya etina mehenga phone khorid neka koie jorurot nehi hai 😂😂,bhai free fire ke liya etina mehenga phone khorid neka koie jorurot nehi hai
4:12 somebody explain what is happening there 😢,4 12 somebody explain happening
IPhone ❤❤❤❤❤,iphone
Bro aap kaha se mai katni mp se hoo,aap kaha se mai katni mp se hoo
24utra,24utra
Which one is best,one best
Samsung Galaxy s24 Nice  ❤❤❤,samsung galaxy s24 nice
"prime song video
",prime song video
S42❤,s42
Sach me Bai app itni speed me khelte ho ya fir video Ki speed tej kar Rakhi hai,sach bai app itni speed khelte ho ya fir video ki speed tej kar rakhi hai
Bro give me one phone pls 🙏🙏🙏🙏,give one phone
nokia x500💀,nokia x500
Gooh I like for dise,gooh dise
The game is installed before unbox😂😂,game installed unbox
Tus oponentes juegan en control total jjajaja o no se a donde disparan xd,tus oponentes juegan en control total jjajaja se donde disparan xd
s24u solo,s24u solo
"kkkkk Briga de Cego , fazendo esta Movimentçao com os dedos parecendo Pro Player vai ver esta que nem Louco errando tiro , jogo e pra da tiro nao ficar de firula !",kkkkk briga de cego fazendo esta moviment ao com os dedos parecendo pro player vai ver esta que nem louco errando tiro jogo e pra da tiro nao ficar de firula
Itnaa Pro 🫢😮🙏,itnaa pro
Samsung winner 🔥,samsung winner
Iam samsung s 24ultra lover,iam samsung 24ultra lover
Wow bro op,wow op
This time iphone 16 pro max but samsung 25ultra coming soon😏,time iphone 16 pro max samsung 25ultra coming soon
I phone best Movement ❤❤❤,phone best movement
Iqoo 12 sabka baap hai ❤❤❤❤❤❤❤❤,iqoo 12 sabka baap hai
haker,haker
Realme 11x 5g ka ff test karo,realme 11x 5g ka ff test karo
Sumsung S24 Ultra ☠️☠️☠️,sumsung s24 ultra
Bhai tere pas mehenga phone hai ...but ...kitna baar unbox karke dikhata hai bro 😂🌝,bhai tere pas mehenga phone hai kitna baar unbox karke dikhata hai
Op game play ❤❤❤❤❤❤❤❤,op game play
Iphone 16 win,iphone 16 win
free perih,free perih
Por que mucho DPI si ya trae  mucha senci?,por que mucho dpi si ya trae mucha senci
Samsung galaxy S24 ultra is better then iphone,samsung galaxy s24 ultra better iphone
plzzz support me 😢😢😢😢😢😢😢😢😢😢😢😢😢,plzzz support
France,france
Aquos R5G . ULTRA😮,aquos r5g ultra
Dangarous gameplay,dangarous gameplay
I'm. Bye 🎉,bye
Ff jaisa tatti game k liye itna mehnga phone 🤡🍒,ff jaisa tatti game k liye itna mehnga phone
New Subscribers Hu 😢😢,new subscribers hu
Bro ha 254 phone pls give 1 phon 😢,ha 254 phone give 1 phon
Samsung s24 and iPhone 16 pro max have already unbox 🗿☠️☠️☠️☠️☠️,samsung s24 iphone 16 pro max already unbox
Ma Manta ho android ma s24ultra is super but but apple is better for gaming❤,manta ho android s24ultra super apple better gaming
"Meu s23 ultra fica com o áudio invertido quando ligar a call no ff, alguém sabe como consertar?",meu s23 ultra fica com udio invertido quando ligar call ff algu sabe como consertar
S24 SOLOS ALL,s24 solos
N😮,n
Nothing phone 2a plus gama play handcam please,nothing phone 2a plus gama play handcam
Scamsung 🤡,scamsung
Bro has more money than mukesh anbimany 😂😂😂😂☠️☠️☠️☠️☠️☠️☠️,money mukesh anbimany
突然為我之前偷偷將爸爸的14 Pro換成XR這回事感到慚愧（欸,14 pro xr
*Joeman 這種孝順系列影片 小品溫馨又好看*,joeman
我把重點放在這間地標網通的店員很正，而不是Joeman媽媽馬上發現換新手機iPhone 16 Pro Max😂,joeman iphone 16 pro max
"（年紀到了會很珍惜與家人的相處時光。）
很喜歡Joman與媽媽的互動，很真誠❤❤❤
看完後決定下次也要去地標網通換手機😂",joman
5:09大耳朵的相當帶勁,5 09
"0:00 預告
0:10 前言&簡介
1:25 諮詢/查詢價格
2:28 以舊換新/資費價
4:46 開箱/加購配件/一站式服務
6:16 為九媽偷設定新iPhone
7:07 母子鬥嘴日常
8:01 設定環節接近完畢
8:43 當刻的反應/親情時刻
10:20 感想&結尾
14:29 彩蛋
15:10 福利

*1:34** 本集重點*
9:31 9:40 超興奮的壯哥

最後很感謝壯哥Joeman和九媽以及地標網通
為觀眾復刻四年前並且充滿孝心的特別企劃 ",0 00 0 10 1 25 2 28 4 46 6 16 iphone 7 07 8 01 8 43 10 20 14 29 15 10 1 34 9 31 9 40 joeman
去年我也是去地標網通買iPhone 14給媽媽，地標網通真的是一站式服務，而且買低一階的iPhone價格超香😂怕長輩自己住有手機上的問題，先買低階怕最新手機有災情還沒發生😂直接在地標一路把手機殼、保護貼、鏡頭保護殼全都買好了，而且都是比市價低只要加價購就可以全部弄到好，真的超方便❤ 長輩們有時候對手機有疑問我也都儘量解答，可以感同身受九妹那份孝順的心❤九妹好棒呀！,iphone 14 iphone
14:10媽媽開始不耐煩不推薦xD,14 10 xd
5:10 大耳朵上身,5 10
Joemen的媽媽好可愛~~孝順的人都有福報.,joemen
0:13 去年11月的特別企劃比較驚喜吧,0 13 11
感謝 Joeman、Joe媽 的分享，Joeman 真的孝順，有空真的多陪陪媽媽，聊天談心關心，都好~~ ,joeman joe joeman
"我上個月也幫我爸換了iphone16 
雖然只是數字版的，但可以看到爸爸臉上的笑容
還有到處跟親朋好友炫耀，真的值得了",iphone16
有够温馨的呐，祝妈妈长命百岁，joeman 哥哥赚多多钱，妈妈就会比较想要儿子的陪伴吧,joeman
真的很愛看Joeman媽媽,joeman
😂😂😂感動 孝親系列影片，很讚，就喜歡Joeman真情流露 ，持續支持，訂閱❤,joeman
"謝謝Joeman影片的用心良苦
這部片我會仔細不讓長輩發現的😂😂😂",joeman
"媽媽唸沒理她, Joemen耳朵都紅了🤣🤣🤣",joemen
看完這集被媽媽圈粉耶 媽媽真的好可愛 雖然嘴上說著不知道怎麼推薦 但都有在關注Joeman頻道的狀況 很真切的母子互動 最後媽媽出場的段落都在邊看邊笑 太可愛了❤,joeman
感覺送什麼九媽都愛~(因為她真正愛的是Joeman),joeman
看到最後跟媽媽的對話讓我默默落淚，雖然是推廣影片，但對話內容也恨真實都不是set的，希望我們都能夠對爸媽多點耐心，好好孝順他們。,set
難得看到到地標網通業配。本人NOTE3 NOTE5 S10+都在地標網通買。不過後來換蘋果後直營網購能14天無條件退貨就有一陣子沒買了。不過對於非pro系列有價差還是很值得在這家店買。,note3 note5 s10 14 pro
要開新企劃了嗎 ？ 奢華保全 vs 平價保全,vs
"還是地標網通良心, 有贊助man哥才敢送",man
媽媽太可愛了 XD,xd
"11月15PRO MAX 地標最高收購價32000元 一站式服務還可以直接在這裡貼上保護貼和購買各廠牌保護殼喔
推薦大家來地標網通
攜碼、續約、新辦門號
買新手機還有舊換新服務
高價收購舊機呢

到地標網通購買 iPhone 16 全系列
在11月底前呢持影片優惠碼
就送 belkin 100W 高速傳輸充電線或者$499加購犀牛盾磁吸保護殼（原價$1280）
按讚分享出去囉",11 15pro max 32000 iphone 16 11 belkin 100w 499 1280
我看出來是Human Made但還是很像警衛啦,human made
好喜歡這感覺 :最好的照顧是陪伴~要健康喔JOEMAN 媽,joeman
Joeman 很幸福餒！,joeman
"唉唉 MAN該來一下網紅觀察室了。你那觀察室比靈能好看多了，拍的很好 下次別怕😅
1.家寧Popoo，你今天Po了嗎😂
2.走鐘 微疼動畫獎爭議，選片頻道拿著授權不是自己創作&三年前影片去參賽得獎",man 1 popoo po 2
被TA到了! 剛好想幫爸爸換i16 !,ta i16
Joeman 的影片又能配晚餐吃了！❤️,joeman
3:26 十溜～ pro max,3 26 pro max
"I was homeless, did drugs, went into prison, where I got to know God. He changed my life. Now I have a home, a Husband and a lovely daughter (Jessica), and a stream of income that gets me $44,000 Every month. Plus a new identity - a child of God. Hallelujah!!!I was homeless, did drugs, went into prison, where I got to know God. He changed my life. Now I have a home, a Husband and a lovely daughter (Jessica), and a stream of income that gets me $44,000 Every month. Plus a new identity - a child of God. Hallelujah!!!",homeless drugs went prison got know god changed life home husband lovely daughter jessica stream income gets 44 000 every month plus new identity child god hallelujah homeless drugs went prison got know god changed life home husband lovely daughter jessica stream income gets 44 000 every month plus new identity child god hallelujah
估價手機的時候我腦海裏一直出現：這台手機在我們轉轉還能回收XXXX元...,xxxx
原來是human made 警衛警衛大哥....,human made
好喜歡joeman這隻的業配影片，雖然之前經過了好多事，但最後還是走過來了，希望之後都繼續加油健康順利,joeman
這種系列才是youtube,youtube
14:49 真的好像比之前胖一點。 。 不要復胖啊 😂,14 49
這片好溫馨!  請教九面在家第一part背景的窗戶是什麼電子窗戶,part
"我愛媽媽！ 昨天才看換i11, 今天馬上i16",i11 i16
15 max 1TB 3萬2....感覺虧了= =,15 max 1tb 3 2
偷cue大耳朵,cue
"10:09 感覺這邊九媽短短一句話，感觸很深...
大家真的要多陪陪媽媽QQ",10 09 qq
11pm換16pm當然會發現，我給我媽14pm換16pm，就發現不了，總會錯拿我手幾(15pm),11pm 16pm 14pm 16pm 15pm
感覺16沒有像剛開始怎麼熱了,16
4:47 江江江😂,4 47
11:40 为了拍视频😅多多陪陪父母吧❤,11 40
"9妹就是帥氣😎🤟😝
這也是孝順的時尚的表現🤟😎🫴✨",9
媽媽的EQ真的很高！希望媽媽一直健健康康的,eq
"1萬8快2萬 
跟媽說還是要說1萬多🤣
善意的謊報",1 8 2 1
MAN媽真的好棒喔~~,man
"之前把我媽的i11 換成i13
都沒發現😅",i11 i13
"我之前有一隻iphone回收問下來是地標最高價, 但地標不同間店報的價格又不一樣~ 應該是獨立的",iphone
地標沒有14天退換貨吧?,14
Real Man !!!,real man
影片看完了 沒有抽16pm環節嗎？,16pm
媽媽好Q~~,q
大耳朵tv版阿哲😂,tv
0,0
長輩拿蘋果 裡面假如有100種功能 長輩們也只會 打電話跟賴 而已 😂,100
9妹加油,9
"哈 好可愛的Joeman媽😂😂😂
活在當下，珍惜一切 加油👏🎉",joeman
"最近也幫我爸媽換手機🤣
目標跟著Joeman，也買日本房子",joeman
9:26 「不然哪那麼好，你兒子坐你旁邊坐那麼久」 聽起來很鼻酸！多陪陪比換手機好,9 26
"空機仔都去地標，不用打廣告der
這幾年傑昇轉型後把地標當對手在打，硬是要比人家便宜可能一兩百塊
但以前留下來的傳統門市氣息仍太重還未散去，一直很愛話術別人
家人被誆了兩次
連我去問sony旗艦都要鬼轉誘我買oppo入門，有毛病
然後隔幾天地標就降到同價格，直接去搬貨",der sony oppo
買手機建議不要去官網買因為官網都是原價賣 建議等出了一段時間後再去地標網通或是傑昇通信買會便宜一些 2:08,2 08
原來Joeman有姐姐,joeman
"跟我媽媽一樣不習慣iPhone 側面撥鍵不見了😂
人生短短～珍惜當下身邊關心你的人這才是最值得👍🏻",iphone
這HM也太拉,hm
se acordó la contraseña del canal,se acord la contrase del canal
Ni mi padre me a dejado esperando tanto como este hombre grande jade,ni mi padre dejado esperando tanto como este hombre grande jade
Jade resube tus videos eran mi lugar seguro.  :(,jade resube tus videos eran mi lugar seguro
"Descarguen el video, antes de que lo borren",descarguen el video antes de que lo borren
"Consigue Setapp aquí https://stpp.co/3Try89B 
 (vale la pena jijiji)",consigue setapp aqu https stpp co 3try89b vale la pena jijiji
"Consigue Setapp aquí https://stpp.co/3Try89B 
 (vale la pena jijiji)",consigue setapp aqu https stpp co 3try89b vale la pena jijiji
Bueno mi gente ahora nos toca  esperar otro año hasta la próxima,bueno mi gente ahora nos toca esperar otro hasta la pr xima
Porfin vuelve a subir esta serie de videos,porfin vuelve subir esta serie de videos
"No lo compro en temu,a parte de q no es el empaquetado avitual de dicha tienda,tapastes el papel de descripción del proveedor en el paquete para q no se vea de donde salio💆🏻‍♂️🤦🏻‍♂️",lo compro en temu parte de q es el empaquetado avitual de dicha tienda tapastes el papel de descripci n del proveedor en el paquete para q se vea de donde salio
"La edición de este señor es tan rico que no nos importa esperar 3 meses. 
Genio, crack, monstruo, máquina.",la edici n de este se es tan rico que nos importa esperar 3 meses genio crack monstruo quina
"agradezco que cada vez que subes video vengo desde mi trabajo a mi casa, gracias por hacerme mas ameno mi viaje mi rey. Saludos desde Chile<3",agradezco que cada vez que subes video vengo desde mi trabajo mi casa gracias por hacerme mas ameno mi viaje mi rey saludos desde chile 3
"He comprado varias cosas en temu,  leyendo las reseñas envío número de ventas del producto calificaciones del vendedor todo me ha llegado en tiempo y forma y sin problema, máximo tres productos que no me funcionaron me devolvieron el dinero inmediatamente y compré otras cosas y llegaron bien como siempre... Soy de Morelos México.",comprado varias cosas en temu leyendo las rese env n mero de ventas del producto calificaciones del vendedor todo ha llegado en tiempo forma sin problema ximo tres productos que funcionaron devolvieron el dinero inmediatamente compr otras cosas llegaron bien como siempre soy de morelos xico
4:55 el verdadero protagonista del canal,4 55 el verdadero protagonista del canal
"Apple no sirve para hacer celulares, pero si para denunciar videos, Increíble🤣",apple sirve para hacer celulares pero si para denunciar videos incre ble
Que RATAS al borrarte los videos... Si estos vídeos hacen lo CONTRARIO a incentivar,que ratas al borrarte los videos si estos v deos hacen lo contrario incentivar
Tus videos son geniales pinche apple porque en vez de dedicarse a borrar videos no se ponen a hacer productos de buena calidad a precios accesibles asi no tienen que ocultar videos que demuestran que sus productos no valen la pena,tus videos son geniales pinche apple porque en vez de dedicarse borrar videos se ponen hacer productos de buena calidad precios accesibles asi tienen que ocultar videos que demuestran que sus productos valen la pena
"El Dinamic Island en el iPhone de Jade se ve extraño en el minuto 3:51, quizá lo compró en una tienda rara de Taiwan para un video y nos lo tiene oculto 😅",el dinamic island en el iphone de jade se extra en el minuto 3 51 quiz lo compr en una tienda rara de taiwan para un video nos lo tiene oculto
Te amo españolete que se gasta el sueldo de un ingeniero,te amo espa olete que se gasta el sueldo de un ingeniero
"Temu: llego apple
Aliexpress: ah shıt here we go again
Apple: ah shıt here we go again",temu llego apple aliexpress ah sh go apple ah sh go
Volvió el rey,volvi el rey
Este hombre es increible,este hombre es increible
Eres un grande chaval,eres un grande chaval
8:05 😢😢 que nostalgia ese sonido que alguien me diga como se llama para ponerlo de ringtone en mi jayfon😂,8 05 que nostalgia ese sonido que alguien diga como se llama para ponerlo de ringtone en mi jayfon
Broo o tu puedes no te rindas  llegaremos a ese millón de siguidores ❤,broo tu puedes te rindas llegaremos ese mill n de siguidores
Grande jade siempre con contenido de calidad aunque bien demorado xd,grande jade siempre con contenido de calidad aunque bien demorado xd
"De verdad te esforzaste para que ya no te borren los vídeos, igual te entiendo porque me borraron más de 10 canales sin mentir... por tonterías",de verdad te esforzaste para que ya te borren los v deos igual te entiendo porque borraron de 10 canales sin mentir por tonter
5:03 Claramente dice que hay suscribirse para llegar al millon,5 03 claramente dice que hay suscribirse para llegar al millon
Jade pa' cuando el sorteo del pc gamer de Aliexpress??? 👁️👄👁️,jade pa cuando el sorteo del pc gamer de aliexpress
0:21 con razón bueque un vídeo tuyo de un iPhone 14 pro Max y no lo encontré 😢,0 21 con raz n bueque un v deo tuyo de un iphone 14 pro max lo encontr
"justo hoy por la mañana recorde tu contenido y vi que no habias subido nada, ahora a esperar otros meses para ver otro video",justo hoy por la ana recorde tu contenido vi que habias subido nada ahora esperar otros meses para ver otro video
"Idea para proximo video:





Compré una casa en temu y me secuestraron (final inesperado)",idea para proximo video compr una casa en temu secuestraron final inesperado
ya me suscribí vamos por el millon 🎉,ya suscrib vamos por el millon
"Jade, prefieres iphone? O android",jade prefieres iphone android
Sigue creciendo mi pana👍,sigue creciendo mi pana
